,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,areaType,distanceDiff,minDis,intentionedDisToTargetMin,avoidCommitmentZone
0,guanyilin,"[2377, 2569, 2761, 2937, 3121, 3297, 3521, 3969, 4201, 4473, 4849, 5089, 5313, 5529, 5737]","[(2, 13), [2, 12], [2, 11], [2, 10], [2, 9], [2, 8], [2, 7], [3, 7], [3, 6], [4, 6], [3, 5], [4, 5], [4, 4], [4, 3], [4, 2], [6, 2]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0)]","[10, 15]","[0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 0, 2, 2, 2, 0]",2,"(2, 13)","(12, 8)","(6, 2)",expRect,0,15.0,6,29
1,guanyilin,"[2075, 2339, 2683, 3067, 3435, 3707, 3947, 3987, 4307, 4523, 4747, 5043, 5283]","[(11, 13), [11, 12], [11, 11], [10, 11], [10, 10], [9, 10], [9, 9], [9, 8], [8, 8], [8, 7], [8, 6], [8, 5], [7, 5], [7, 4]]","[(0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1)]",[],"[0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 2, 0, 2]",0,"(11, 13)","(1, 10)","(7, 4)",expRect,0,13.0,6,19
2,guanyilin,"[2091, 2355, 2555, 2803, 2987, 3203, 3531, 3739, 3915, 4123, 4347, 4595, 4835, 5051, 5267]","[(3, 1), [4, 1], [5, 1], [4, 2], [4, 3], [5, 3], [5, 4], [5, 5], [5, 6], [5, 7], [5, 8], [6, 8], [7, 8], [7, 9], [7, 10], [7, 11]]","[(1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1)]",[3],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 2, 2, 2]",1,"(3, 1)","(13, 5)","(7, 11)",expRect,0,14.0,6,24
3,guanyilin,"[1790, 1998, 2238, 2422, 2654, 2878, 3134, 3326]","[(1, 7), [2, 7], [3, 7], [4, 7], [5, 7], [6, 7], [7, 7], [7, 6], [8, 6]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0)]",[],"[2, 2, 2, 2, 2, 2, 2, 2]",0,"(1, 7)","(1, 13)","(8, 6)",none,2.0,6.0,6.0,0.0
4,guanyilin,"[2115, 2339, 2563, 2627, 2867, 3059, 3211, 3427, 3707, 3939]","[(10, 2), [10, 3], [10, 5], [10, 6], [9, 6], [8, 6], [7, 6], [6, 6], [6, 7], [5, 7], [5, 8]]","[(0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1)]",[2],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",1,"(10, 2)","(5, 8)","(3, 6)",expRect,0,11.0,2,29
5,guanyilin,"[1745, 1953, 2145, 2329, 2537, 2729, 2929, 3129, 3305, 3649, 3857, 4065, 4321, 4545, 4753]","[(2, 2), [3, 2], [4, 2], [3, 3], [4, 3], [4, 5], [5, 5], [6, 5], [7, 5], [8, 5], [8, 6], [8, 7], [8, 8], [9, 8], [9, 9], [9, 10]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1)]","[3, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1]",2,"(2, 2)","(9, 10)","(13, 2)",straightLine,4.0,11.0,4.0,7.0
6,guanyilin,"[1747, 2011, 2099, 2347, 2603, 2755, 3011, 3251, 3547, 3731, 4051, 4243, 4459, 4803]","[(1, 2), [2, 2], [3, 2], [3, 3], [3, 4], [3, 5], [4, 5], [5, 5], [5, 6], [6, 6], [6, 7], [6, 8], [5, 9], [5, 10], [6, 10]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0)]",[12],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0]",1,"(1, 2)","(10, 6)","(6, 10)",expRect,0,13.0,4,29
7,guanyilin,"[1732, 1988, 2204, 2388, 2588, 2772, 2956, 3132, 3300, 3476, 3924, 4148]","[(3, 10), [5, 10], [5, 9], [4, 10], [4, 9], [4, 8], [4, 7], [4, 6], [4, 5], [4, 4], [4, 3], [4, 2], [5, 2]]","[(1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0)]","[1, 3]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]",2,"(3, 10)","(5, 2)","(13, 8)",rect,2.0,10.0,2.0,8.0
8,guanyilin,"[1928, 2136, 2336, 2504, 2696, 2928, 3064, 3248, 3544, 3744]","[(1, 3), [1, 4], [1, 5], [1, 6], [2, 6], [2, 7], [2, 8], [3, 8], [3, 9], [3, 10], [3, 11]]","[(0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 1, 0, 1, 1, 0, 1, 1, 1]",0,"(1, 3)","(3, 11)","(13, 5)",rect,4.0,10.0,2.0,8.0
9,guanyilin,"[2021, 2245, 2525, 2717, 2885, 3045, 3221, 3397, 3573, 3757, 4157, 4382, 4623]","[(3, 6), [2, 6], [3, 6], [4, 6], [5, 6], [6, 6], [7, 6], [8, 6], [9, 6], [10, 6], [11, 6], [11, 7], [12, 7], [13, 7]]","[(-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2]",0,"(3, 6)","(12, 2)","(13, 7)",midLine,2.0,11.0,2.0,9.0
10,guanyilin,"[1913, 2105, 2273, 2473, 2649, 2833, 3009, 3369, 3593, 3793, 4001, 4289, 4489]","[(12, 13), [12, 12], [12, 11], [11, 10], [11, 9], [11, 8], [11, 7], [11, 6], [10, 6], [10, 5], [10, 4], [9, 4], [9, 3], [9, 2]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1)]",[3],"[0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 0, 2, 2]",1,"(12, 13)","(3, 8)","(9, 2)",expRect,0,14.0,6,23
11,guanyilin,"[1891, 2139, 2331, 2475, 2707, 2955, 3155, 3355, 3539, 3723, 3907, 4339]","[(9, 2), [9, 3], [9, 4], [9, 5], [11, 5], [11, 6], [12, 7], [11, 7], [10, 7], [9, 7], [8, 7], [7, 7], [6, 7]]","[(0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[6, 4]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2,"(9, 2)","(6, 7)","(4, 5)",expRect,0,8.0,2,15
12,guanyilin,"[2103, 2327, 2519, 2751, 2959, 3167, 3415, 3775, 3999]","[(7, 5), [7, 4], [7, 3], [8, 3], [7, 4], [8, 4], [9, 4], [10, 4], [11, 4], [11, 3]]","[(0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1)]",[4],"[2, 2, 2, 2, 2, 2, 2, 2, 2]",1,"(7, 5)","(7, 11)","(11, 3)",none,0.0,6.0,6.0,0.0
