,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,areaType,distanceDiff,minDis,intentionedDisToTargetMin,avoidCommitmentZone
0,heqiyuan,"[1797, 2357, 2581, 2757, 2965, 3357, 3653, 3861, 4045, 4213, 4437, 4717, 5093, 5365]","[(7, 5), [8, 5], [8, 6], [8, 7], [8, 8], [8, 9], [8, 10], [7, 10], [6, 10], [5, 9], [4, 9], [3, 9], [2, 9], [1, 9], [1, 10]]","[(1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]",[9],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0]",1,"(7, 5)","(3, 12)","(1, 10)",expRect,0,11.0,2,29
1,heqiyuan,"[1811, 2131, 2339, 2523, 2667, 2827, 3003, 3195, 3627, 3835, 4019, 4195, 4371, 4587, 4803, 5107]","[(1, 1), [2, 1], [3, 1], [3, 2], [3, 3], [3, 4], [4, 3], [3, 2], [3, 3], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [3, 9], [3, 10], [3, 11]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[6, 7]","[0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",2,"(1, 1)","(3, 11)","(13, 3)",rect,2.0,12.0,4.0,8.0
2,heqiyuan,"[1899, 2075, 2267, 2675, 2907, 3115, 3315, 3483, 3659, 3939, 4115, 4299, 4467, 4659, 4907]","[(3, 2), [4, 2], [5, 2], [6, 2], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7], [13, 7]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0,"(3, 2)","(13, 7)","(7, 13)",expRect,0,15.0,6,29
3,heqiyuan,"[1794, 2002, 2186, 2394, 2642, 2946, 3258, 3450, 3610, 3786, 3962, 4162, 4346, 4618]","[(1, 13), [2, 13], [3, 13], [4, 13], [4, 14], [5, 14], [6, 14], [6, 13], [6, 12], [6, 11], [6, 10], [6, 9], [6, 8], [6, 7], [6, 6]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[4],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]",1,"(1, 13)","(10, 10)","(6, 6)",expRect,0,12.0,4,23
4,heqiyuan,"[1714, 1906, 2082, 2258, 2586, 2802, 3010, 3186, 3354, 3514, 3738, 3938, 4146, 4370]","[(4, 12), [5, 12], [6, 12], [7, 12], [8, 12], [9, 12], [9, 11], [9, 10], [9, 9], [9, 8], [9, 7], [9, 6], [9, 5], [9, 4], [9, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]",0,"(4, 12)","(13, 7)","(9, 3)",expRect,0,14.0,4,35
5,heqiyuan,"[1657, 2105, 2321, 2505, 2825, 3113, 3521, 3921, 4217, 4529, 4745, 5001]","[(4, 2), [5, 2], [5, 3], [6, 4], [6, 5], [6, 6], [7, 5], [7, 6], [7, 7], [7, 8], [6, 8], [5, 8], [4, 8]]","[(1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0)]","[3, 6]","[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2,"(4, 2)","(4, 8)","(11, 1)",none,2.0,6.0,6.0,0.0
6,heqiyuan,"[1657, 1873, 2137, 2313, 2457, 2626, 2793, 2953, 3137, 3585, 3881, 4121, 4321]","[(1, 13), [2, 13], [3, 13], [3, 12], [3, 11], [3, 10], [3, 9], [3, 8], [3, 7], [5, 7], [5, 6], [5, 5], [4, 5], [3, 5]]","[(1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0)]",[9],"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,"(1, 13)","(3, 5)","(11, 11)",rect,2.0,10.0,2.0,8.0
7,heqiyuan,"[1735, 2039, 2263, 2551, 2775, 3047]","[(7, 7), [8, 7], [9, 7], [10, 7], [10, 6], [10, 5], [10, 4]]","[(1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]",[],"[2, 2, 2, 2, 2, 2]",0,"(7, 7)","(7, 13)","(10, 4)",none,0.0,6.0,6.0,0.0
8,heqiyuan,"[1842, 2026, 2234, 2410, 2586, 2762, 3170, 3354, 3554, 4106]","[(3, 10), [4, 10], [5, 10], [6, 10], [7, 10], [8, 10], [7, 11], [8, 11], [9, 11], [10, 12], [11, 12]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[9, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,"(3, 10)","(11, 12)","(12, 9)",midLine,0.0,10.0,2.0,8.0
9,heqiyuan,"[1795, 2011, 2275, 2467, 2683, 2891, 3083, 3251, 3419, 3619, 3867]","[(1, 1), [2, 1], [3, 1], [3, 3], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [3, 9], [3, 10], [3, 11]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[12, 3]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",2,"(1, 1)","(3, 11)","(13, 3)",rect,2.0,12.0,4.0,8.0
