,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,areaType,distanceDiff,minDis,intentionedDisToTargetMin,avoidCommitmentZone
0,leeenling,"[2366, 2533, 2701, 3718, 3973, 4134, 4294, 4437, 4622, 4782, 4941, 5174, 5493]","[(2, 9), [3, 9], [4, 9], [5, 9], [5, 8], [5, 7], [5, 6], [3, 6], [3, 5], [3, 4], [3, 3], [3, 2], [3, 1], [4, 1]]","[(1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0)]",[7],"[0, 0, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",1,"(2, 9)","(4, 1)","(12, 7)",rect,2.0,10.0,2.0,8.0
1,leeenling,"[2104, 2295, 3152, 3327, 3496, 3639, 3807, 3984, 4152, 4327, 4496, 4799, 5039, 5231, 5407]","[(1, 1), [1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [0, 6], [0, 7], [0, 8], [0, 9], [0, 9], [0, 10], [0, 11], [1, 11], [2, 11], [3, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]","[10, 6]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",2,"(1, 1)","(3, 11)","(13, 3)",rect,2.0,12.0,4.0,8.0
2,leeenling,"[2675, 3228, 3411, 3619, 3939, 4595, 4771, 4923, 5083, 5243, 5411]","[(3, 1), [4, 1], [5, 1], [6, 1], [7, 1], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",0,"(3, 1)","(9, 6)","(7, 8)",expRect,0,11.0,2,29
3,leeenling,"[2579, 2747, 3075, 3259, 3939, 4115, 4267, 4427, 4603, 4931, 5443, 5835, 6019, 6227, 6499]","[(12, 12), [11, 12], [10, 12], [9, 12], [7, 12], [6, 12], [5, 12], [4, 12], [4, 10], [3, 10], [2, 10], [1, 10], [1, 9], [1, 8], [1, 7], [2, 7]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (1, 0)]","[4, 8]","[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",2,"(12, 12)","(2, 7)","(8, 1)",expRect,0,15.0,6,29
4,leeenling,"[2608, 2791, 3335, 3495, 3655, 3807, 3983, 4152, 4327, 4511, 4687, 4879]","[(2, 3), [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2], [8, 2], [9, 2], [10, 2], [11, 2], [12, 2], [13, 2]]","[(0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[2, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]",0,"(2, 3)","(8, 9)","(13, 2)",midLine,0.0,12.0,6.0,6.0
5,leeenling,"[2261, 2413, 2597, 2758, 2902, 3069, 3229, 3517, 3685]","[(2, 10), [2, 8], [2, 7], [2, 6], [2, 5], [2, 4], [2, 3], [2, 2], [3, 2], [4, 2]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0)]",[1],"[0, 1, 1, 1, 1, 1, 1, 0, 0]",1,"(2, 10)","(4, 2)","(12, 8)",rect,2.0,10.0,2.0,8.0
6,leeenling,"[2374, 2542, 2910, 3094, 3294, 3462, 3951, 4182, 4350, 4535, 4694]","[(5, 6), [3, 6], [4, 6], [5, 6], [6, 6], [7, 6], [8, 6], [9, 6], [9, 5], [9, 4], [9, 3], [9, 2]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[1],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",1,"(5, 6)","(9, 2)","(11, 12)",midLine,4.0,8.0,4.0,4.0
7,leeenling,"[2476, 2628, 2796, 3036, 3236, 3436, 3612, 3796, 4068]","[(5, 5), [4, 6], [5, 6], [6, 6], [7, 6], [8, 6], [9, 6], [10, 6], [11, 6], [11, 5]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1)]",[1],"[0, 0, 0, 0, 0, 0, 2, 2, 2]",1,"(5, 5)","(9, 9)","(11, 5)",straightLine,2.0,6.0,2.0,4.0
8,leeenling,"[2579, 2763, 2939, 3083, 3763, 3923, 4091, 4236, 4403, 4563, 4715, 4875, 5124, 5525, 5723, 6115, 6299, 6475]","[(13, 2), [12, 2], [11, 2], [10, 2], [9, 2], [9, 3], [9, 4], [9, 5], [9, 6], [9, 7], [9, 8], [9, 9], [7, 9], [6, 9], [7, 9], [8, 9], [8, 10], [8, 11], [8, 12]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1)]",[12],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",1,"(13, 2)","(8, 12)","(2, 6)",expRect,0,15.0,6,29
9,leeenling,"[2234, 2802, 2994, 3834, 3986, 4122, 4274, 4434, 4586, 4746, 4890]","[(5, 2), [5, 3], [5, 2], [6, 2], [4, 2], [5, 2], [6, 2], [7, 2], [8, 2], [9, 2], [10, 2], [11, 2]]","[(0, 1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[4],"[1, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2]",1,"(5, 2)","(5, 12)","(11, 2)",none,4.0,6.0,6.0,0.0
