,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,areaType,distanceDiff,minDis,intentionedDisToTargetMin,avoidCommitmentZone
0,miaochenlu,"[2475, 2658, 2818, 2961, 3130, 3282, 3426, 3594, 3874, 4194, 4482]","[(1, 5), [2, 5], [3, 5], [4, 5], [5, 5], [6, 5], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4], [9, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1)]",[6],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1,"(1, 5)","(9, 3)","(9, 7)",midLine,0.0,10.0,2.0,8.0
1,miaochenlu,"[2177, 2328, 2496, 2656, 2800, 3232, 3392, 3768, 3943, 4256, 4472, 4879, 5224, 5416]","[(4, 3), [5, 3], [6, 3], [7, 3], [7, 5], [8, 5], [6, 5], [7, 5], [8, 5], [9, 5], [10, 5], [11, 5], [12, 5], [12, 4], [12, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]","[6, 4]","[0, 0, 0, 0, 0, 2, 0, 0, 2, 2, 2, 2, 2, 2]",2,"(4, 3)","(8, 11)","(12, 3)",straightLine,4.0,8.0,4.0,4.0
2,miaochenlu,"[2080, 2271, 2431, 2599, 2791, 3135]","[(4, 7), [4, 8], [4, 9], [4, 10], [4, 11], [4, 12], [4, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[1, 1, 1, 1, 1, 1]",0,"(4, 7)","(4, 13)","(6, 1)",none,2.0,6.0,6.0,0.0
3,miaochenlu,"[2669, 2861, 3029, 3205, 3372, 3573, 3869, 4045, 4276, 4485, 4669, 4853, 5109]","[(13, 2), [12, 2], [10, 2], [9, 2], [8, 2], [7, 2], [6, 2], [5, 1], [5, 2], [5, 3], [5, 4], [5, 5], [5, 6], [6, 6]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0)]","[2, 7]","[0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]",2,"(13, 2)","(10, 10)","(6, 6)",expRect,0,11.0,4,19
4,miaochenlu,"[2335, 2543, 3079, 3415, 3567, 3750, 3927, 4103, 4295, 4511, 4742, 5015, 5255, 5455, 5615, 5799]","[(11, 12), [13, 12], [12, 12], [11, 12], [10, 12], [9, 12], [8, 12], [7, 12], [6, 12], [5, 12], [4, 12], [3, 12], [2, 12], [2, 11], [2, 10], [2, 9], [2, 8]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[1],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0]",1,"(11, 12)","(2, 8)","(6, 4)",expRect,0,13.0,4,29
5,miaochenlu,"[2192, 2406, 2591, 2783, 2975, 3135, 3303, 3503, 3783, 3975]","[(5, 1), [6, 1], [7, 1], [8, 1], [9, 1], [10, 1], [11, 1], [12, 1], [13, 1], [13, 2], [13, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1)]",[],"[0, 0, 2, 2, 2, 2, 2, 2, 0, 0]",0,"(5, 1)","(7, 13)","(13, 3)",rect,4.0,10.0,2.0,8.0
6,miaochenlu,"[2445, 2596, 2764, 2939, 3124, 3324, 3620, 3788]","[(6, 3), [7, 3], [8, 3], [9, 3], [10, 3], [11, 3], [12, 3], [12, 2], [12, 1]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]",[],"[2, 2, 2, 2, 2, 2, 2, 2]",0,"(6, 3)","(6, 9)","(12, 1)",none,2.0,6.0,6.0,0.0
7,miaochenlu,"[2088, 2232, 2383, 2550, 2775, 2927, 3614, 3767, 3943]","[(3, 4), [4, 4], [5, 4], [6, 4], [7, 4], [7, 3], [8, 4], [8, 3], [8, 2], [7, 2]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0)]",[6],"[2, 2, 2, 2, 2, 2, 2, 2, 0]",1,"(3, 4)","(3, 12)","(7, 2)",none,2.0,6.0,6.0,0.0
8,miaochenlu,"[2227, 2403, 2571, 2715, 2859, 3011, 3171, 3339, 3515, 3723, 4227, 4355]","[(3, 1), [4, 1], [5, 1], [6, 1], [7, 1], [6, 2], [7, 2], [8, 2], [9, 2], [10, 2], [9, 3], [10, 3], [11, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[10, 5]","[0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,"(3, 1)","(5, 11)","(11, 3)",rect,2.0,10.0,2.0,8.0
9,miaochenlu,"[2541, 3135, 3194, 3286, 3347, 3467, 3877, 4085, 4741, 4957, 5133, 5381, 5565]","[(2, 3), [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [1, 9], [2, 9], [3, 9], [4, 9], [4, 10], [4, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1)]",[8],"[0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1]",1,"(2, 3)","(4, 11)","(12, 5)",rect,2.0,10.0,2.0,8.0
