,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,areaType,distanceDiff,minDis,intentionedDisToTargetMin,avoidCommitmentZone
0,nihao,"[2411, 2617, 2818, 3129, 3842, 4114, 4331, 4690, 4897, 5098, 5291, 5514, 5826]","[(10, 2), [9, 2], [8, 2], [7, 2], [6, 1], [5, 1], [4, 1], [3, 1], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[4],"[0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0]",1,"(10, 2)","(6, 10)","(2, 6)",expRect,0,12.0,4,24
1,nihao,"[2004, 2194, 2354, 2507, 2675, 2843, 3028, 3539, 3723, 3924, 4227, 4483]","[(1, 4), [2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4], [6, 5], [7, 5], [8, 5], [9, 5], [10, 5], [10, 6]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1)]",[7],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1,"(1, 4)","(10, 6)","(11, 1)",midLine,2.0,11.0,2.0,9.0
2,nihao,"[1981, 2436, 2644, 2852, 3076, 3388]","[(4, 3), [5, 3], [6, 3], [6, 4], [6, 5], [6, 6], [6, 7]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[8],"[2, 2, 0, 0, 0, 0]",1,"(4, 3)","(4, 11)","(6, 7)",straightLine,2.0,6.0,2.0,4.0
3,nihao,"[2940, 3147, 3379, 3563, 3739, 3899, 4068, 4531, 4723, 4931, 5116, 5435, 5835, 6076, 6307]","[(1, 9), [2, 9], [3, 9], [4, 9], [5, 9], [6, 9], [7, 10], [8, 10], [9, 10], [10, 10], [11, 10], [12, 10], [13, 10], [13, 9], [13, 8], [13, 7]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]",[6],"[0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0]",1,"(1, 9)","(3, 1)","(13, 7)",rect,4.0,10.0,2.0,8.0
4,nihao,"[2710, 2886, 3182, 3405, 3653, 3853, 4109, 4453, 4653, 4877, 5093]","[(5, 3), [5, 4], [5, 5], [5, 6], [5, 7], [6, 7], [7, 7], [8, 7], [8, 8], [8, 9], [8, 10], [8, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]",0,"(5, 3)","(12, 7)","(8, 11)",expRect,0,11.0,4,19
5,nihao,"[2263, 2463, 2656, 3006, 3198, 3383, 3575, 3766, 3967, 4279, 4519, 4696, 4879, 5215, 5399, 5592, 5967, 6311, 6527]","[(11, 13), [10, 13], [9, 13], [8, 13], [7, 13], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13], [1, 12], [2, 13], [2, 12], [2, 11], [0, 11], [0, 10], [0, 9], [0, 8], [1, 8]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0)]","[15, 12]","[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,"(11, 13)","(1, 8)","(7, 2)",expRect,0,15.0,6,29
6,nihao,"[1989, 2157, 2301, 2460, 2622, 2781, 2941, 3221, 3486, 3677]","[(4, 12), [5, 12], [6, 12], [7, 12], [8, 12], [9, 12], [10, 12], [11, 12], [12, 12], [12, 11], [12, 10]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]",[],"[0, 0, 2, 2, 2, 2, 2, 2, 0, 0]",0,"(4, 12)","(6, 2)","(12, 10)",rect,2.0,10.0,2.0,8.0
7,nihao,"[1989, 2157, 2318, 2549, 2917, 3221, 3374, 3549, 3821, 4005, 4189, 4454]","[(7, 8), [8, 8], [10, 8], [11, 8], [12, 8], [13, 8], [13, 7], [11, 7], [11, 6], [11, 5], [11, 4], [11, 3], [11, 2]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[7, 2]","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 2]",2,"(7, 8)","(13, 4)","(11, 2)",expRect,0,10.0,2,24
8,nihao,"[1812, 1980, 2132, 2292, 2445, 2604, 2796, 3004, 3284, 3453]","[(2, 11), [3, 11], [4, 11], [5, 11], [6, 11], [7, 11], [8, 11], [9, 11], [10, 11], [10, 10], [10, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]",[12],"[0, 0, 2, 2, 2, 2, 2, 2, 0, 0]",1,"(2, 11)","(4, 1)","(10, 9)",rect,2.0,10.0,2.0,8.0
9,nihao,"[1868, 2035, 2203, 2356, 2763, 2931, 3099, 3267, 3436, 3611, 3883, 4075, 4251]","[(1, 2), [2, 2], [3, 2], [1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2], [8, 2], [9, 2], [9, 3], [9, 4]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1)]",[3],"[0, 0, 2, 0, 0, 2, 2, 2, 2, 2, 2, 0, 0]",1,"(1, 2)","(3, 12)","(9, 4)",rect,2.0,10.0,2.0,8.0
10,nihao,"[1949, 2084, 2260, 2444, 2780, 2940, 3116, 3284]","[(3, 7), [4, 7], [5, 7], [6, 7], [7, 7], [7, 6], [7, 5], [7, 4], [7, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 1, 1, 1, 1]",0,"(3, 7)","(7, 3)","(13, 7)",straightLine,2.0,8.0,4.0,4.0
11,nihao,"[1999, 2166, 2559, 2735, 2942, 3126, 3302, 3478, 3654, 4022]","[(4, 4), [5, 3], [5, 4], [4, 3], [4, 4], [4, 5], [4, 6], [4, 7], [4, 8], [4, 9], [4, 10]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[1, 3]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2,"(4, 4)","(4, 10)","(13, 3)",none,4.0,6.0,6.0,0.0
