,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,areaType,distanceDiff,minDis,intentionedDisToTargetMin,avoidCommitmentZone
0,wuxu,"[1875, 2051, 2227, 2419, 2931, 3123, 3323, 3507, 3707, 3891, 4347, 4539, 4731, 4939, 5387, 5603, 5787, 5955, 6123, 6291, 6467]","[(1, 2), [2, 2], [3, 2], [4, 1], [5, 1], [6, 1], [7, 1], [8, 1], [9, 1], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [13, 1], [12, 1], [12, 2], [12, 3], [12, 4], [12, 5], [12, 6], [12, 7]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[9, 3]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,"(1, 2)","(12, 7)","(6, 13)",expRect,0,16.0,6,35
1,wuxu,"[1909, 2117, 2317, 2525, 2717, 2933, 3133, 3549, 3781, 4029]","[(1, 1), [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [8, 1], [9, 1], [9, 2], [9, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1)]",[],"[0, 0, 2, 2, 2, 2, 2, 2, 0, 0]",0,"(1, 1)","(3, 11)","(9, 3)",rect,2.0,10.0,2.0,8.0
2,wuxu,"[1722, 1906, 2106, 2330, 2530, 2754, 2930, 3146, 3330, 3538, 3850, 4130, 4346]","[(1, 3), [2, 3], [0, 3], [1, 3], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3], [9, 3], [9, 2], [9, 1]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]",[2],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1,"(1, 3)","(9, 1)","(10, 8)",midLine,4.0,10.0,2.0,8.0
3,wuxu,"[1935, 2143, 2319, 2527, 2711, 3303, 3567, 3767, 4319, 4511]","[(6, 6), [7, 6], [8, 6], [9, 6], [9, 8], [10, 8], [10, 9], [11, 10], [11, 11], [10, 11], [10, 12]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1)]","[4, 7]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",2,"(6, 6)","(10, 12)","(13, 3)",midLine,0.0,10.0,6.0,4.0
4,wuxu,"[1848, 2064, 2280, 2448, 2640, 2896, 3080]","[(4, 4), [5, 4], [6, 4], [7, 4], [8, 4], [9, 4], [9, 5], [9, 6]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 1, 1]",0,"(4, 4)","(9, 6)","(13, 4)",straightLine,2.0,7.0,2.0,5.0
5,wuxu,"[2219, 2411, 2635, 2859, 3099, 3451, 3707, 3899, 4083, 4451, 4683, 4931, 5059, 5955, 6203]","[(8, 12), [8, 11], [8, 10], [8, 9], [6, 9], [6, 8], [7, 8], [8, 8], [9, 8], [10, 8], [11, 8], [11, 7], [11, 6], [12, 6], [12, 7], [13, 7]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (0, 1), (1, 0)]",[4],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1]",1,"(8, 12)","(13, 7)","(11, 5)",expRect,0,10.0,2,23
6,wuxu,"[1835, 2059, 2275, 2691, 2907, 3083, 3315, 3771, 4035]","[(7, 4), [8, 4], [9, 4], [10, 4], [10, 5], [10, 6], [10, 7], [10, 8], [10, 9], [10, 10]]","[(1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2]",0,"(7, 4)","(12, 8)","(10, 10)",expRect,0,9.0,2,19
7,wuxu,"[1782, 2014, 2214, 2382, 2566, 2894, 3078, 3518, 3790]","[(5, 5), [6, 5], [7, 5], [8, 5], [7, 4], [8, 4], [9, 4], [10, 4], [11, 4], [11, 5]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1)]",[4],"[2, 2, 2, 2, 2, 2, 2, 2, 0]",1,"(5, 5)","(5, 13)","(11, 5)",none,2.0,6.0,6.0,0.0
8,wuxu,"[1809, 2009, 2201, 2401, 2881, 3081, 3489, 3833, 4137, 4369, 4609, 4873]","[(2, 5), [3, 5], [4, 5], [5, 5], [3, 5], [3, 7], [4, 7], [5, 7], [6, 7], [6, 6], [6, 5], [6, 4], [6, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]","[5, 4]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,"(2, 5)","(2, 13)","(6, 3)",none,2.0,6.0,6.0,0.0
9,wuxu,"[2003, 2243, 2475, 2747, 3075, 3363, 3579, 3787, 4003, 4379, 4627, 4923, 5179, 5451, 5827]","[(12, 12), [11, 12], [10, 12], [9, 12], [8, 12], [7, 12], [7, 11], [7, 10], [7, 9], [7, 8], [6, 8], [5, 8], [4, 8], [3, 8], [2, 8], [1, 8]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0,"(12, 12)","(1, 8)","(7, 2)",expRect,0,15.0,6,29
10,wuxu,"[2457, 2665, 2913, 3305, 3545, 3873, 4201, 4481, 4769]","[(1, 13), [2, 13], [3, 13], [3, 11], [4, 11], [5, 11], [6, 11], [7, 11], [8, 11], [9, 11]]","[(1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[3],"[0, 0, 0, 2, 2, 2, 2, 2, 2]",1,"(1, 13)","(3, 3)","(9, 11)",rect,2.0,10.0,2.0,8.0
11,wuxu,"[2084, 2300, 2612, 2916, 3132, 3340, 3604, 3836, 4092, 4380, 4636]","[(5, 1), [5, 2], [5, 3], [5, 4], [7, 4], [8, 4], [9, 4], [10, 4], [11, 4], [12, 4], [13, 4], [13, 3]]","[(0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1)]","[12, 4]","[0, 0, 1, 0, 2, 2, 2, 2, 2, 2, 2]",2,"(5, 1)","(7, 13)","(13, 3)",rect,4.0,10.0,2.0,8.0
12,wuxu,"[1825, 2161, 2393, 2593, 2841, 3105]","[(9, 5), [10, 5], [11, 5], [12, 5], [13, 5], [13, 4], [13, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]",[],"[2, 2, 2, 2, 2, 2]",0,"(9, 5)","(9, 11)","(13, 3)",none,0.0,6.0,6.0,0.0
