,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,areaType,distanceDiff,minDis,intentionedDisToTargetMin,avoidCommitmentZone
0,xvlin,"[1744, 1976, 2223, 2391, 2527, 2671, 2815, 2959, 3183]","[(9, 7), [10, 8], [11, 8], [11, 7], [11, 6], [11, 5], [11, 4], [11, 3], [11, 2], [12, 2]]","[(1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0)]",[1],"[2, 2, 2, 2, 2, 2, 2, 2, 2]",1,"(9, 7)","(9, 13)","(12, 2)",none,2.0,6.0,6.0,0.0
1,xvlin,"[1852, 2005, 2149, 2300, 2437, 2580, 2732, 2868, 3100, 3260]","[(2, 13), [2, 12], [2, 11], [2, 10], [2, 9], [2, 8], [2, 7], [2, 6], [2, 5], [3, 5], [4, 5]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0)]",[],"[0, 0, 1, 1, 1, 1, 1, 1, 0, 0]",0,"(2, 13)","(4, 5)","(12, 11)",rect,2.0,10.0,2.0,8.0
2,xvlin,"[1923, 2075, 2227, 2371, 2523, 2659, 2811, 2947, 3099, 3467, 3627, 3779, 3915, 4083]","[(5, 6), [6, 6], [7, 6], [5, 6], [6, 6], [7, 6], [8, 6], [9, 6], [10, 7], [11, 7], [11, 8], [11, 9], [11, 10], [11, 11], [11, 12]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[3, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",2,"(5, 6)","(11, 12)","(13, 4)",midLine,2.0,10.0,4.0,6.0
3,xvlin,"[1928, 2112, 2263, 2415, 2551, 2687, 2831, 2968, 3399, 3639, 3824, 3983, 4279, 4439]","[(1, 11), [2, 11], [3, 11], [4, 11], [5, 11], [6, 11], [7, 11], [6, 10], [7, 10], [6, 11], [7, 11], [8, 11], [9, 11], [9, 10], [9, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]","[7, 9]","[0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0]",2,"(1, 11)","(3, 1)","(9, 9)",rect,2.0,10.0,2.0,8.0
4,xvlin,"[1869, 2036, 2172, 2324, 2460, 2620, 2764, 2892, 3037, 3308, 3460, 3837, 3996, 4124]","[(1, 2), [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [1, 9], [0, 8], [0, 9], [0, 10], [0, 11], [1, 11], [2, 11], [3, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]",[8],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",1,"(1, 2)","(1, 13)","(3, 11)",straightLine,0.0,11.0,2.0,9.0
5,xvlin,"[1867, 2004, 2147, 2299, 2460, 2604, 3140, 3339, 3491, 3835]","[(9, 11), [8, 11], [7, 11], [6, 11], [5, 11], [4, 11], [3, 11], [2, 11], [2, 10], [2, 9], [2, 8]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",0,"(9, 11)","(2, 8)","(4, 6)",expRect,0,10.0,2,23
6,xvlin,"[1891, 2067, 2203, 2347, 2491, 2635, 2787, 2939, 3091, 3260, 3419]","[(3, 11), [4, 11], [5, 11], [6, 11], [6, 9], [7, 9], [8, 9], [9, 9], [10, 9], [11, 9], [12, 9], [13, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[4],"[0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1,"(3, 11)","(5, 3)","(13, 9)",rect,2.0,10.0,2.0,8.0
7,xvlin,"[2067, 2227, 2363, 2508, 2643, 2779, 2931, 3075, 3211, 3355, 3843, 4076, 4267]","[(2, 13), [3, 13], [4, 13], [5, 13], [6, 13], [6, 11], [7, 11], [8, 11], [9, 11], [11, 11], [12, 11], [11, 11], [11, 10], [11, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (0, -1), (0, -1)]","[9, 5]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]",2,"(2, 13)","(11, 9)","(7, 5)",expRect,0,13.0,4,29
8,xvlin,"[1737, 1920, 2056, 2200, 2360, 2512, 2664, 2808, 2960, 3089, 3248, 3656, 3832, 4072]","[(2, 9), [3, 9], [4, 9], [5, 9], [6, 9], [7, 9], [8, 9], [9, 9], [10, 9], [11, 9], [12, 9], [13, 9], [13, 8], [13, 7], [12, 7]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (-1, 0)]",[],"[0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0]",0,"(2, 9)","(4, 1)","(12, 7)",rect,2.0,10.0,2.0,8.0
9,xvlin,"[3087, 3272, 3407, 3551, 3695, 3839, 3991, 4135, 4287, 4439, 4575, 4807, 5055, 5328]","[(1, 5), [2, 5], [3, 5], [4, 5], [5, 5], [6, 5], [7, 5], [8, 5], [9, 5], [10, 5], [11, 6], [10, 5], [11, 5], [12, 5], [13, 5]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[10, 11]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2]",2,"(1, 5)","(9, 1)","(13, 5)",straightLine,0.0,12.0,4.0,8.0
10,xvlin,"[1921, 2089, 2241, 2633, 2817, 2961, 3105, 3241, 3377, 3513]","[(4, 5), [4, 6], [2, 6], [2, 7], [3, 7], [4, 7], [5, 7], [6, 7], [7, 7], [8, 7], [9, 7]]","[(0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[2],"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,"(4, 5)","(9, 7)","(12, 4)",midLine,2.0,7.0,2.0,5.0
11,xvlin,"[2482, 2634, 2786, 2938, 3098, 3242]","[(7, 7), [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [7, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[1, 1, 1, 1, 1, 1]",0,"(7, 7)","(7, 13)","(12, 2)",none,4.0,6.0,6.0,0.0
12,xvlin,"[2908, 3068, 3212, 3364, 3508, 3668, 3796, 3949, 4084, 4628]","[(3, 4), [3, 5], [2, 4], [3, 3], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [3, 9], [3, 10]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[2, 3]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",2,"(3, 4)","(3, 10)","(13, 4)",none,4.0,6.0,6.0,0.0
13,xvlin,"[2010, 2195, 2346, 2498, 2658, 2818, 2962, 3114, 3266, 3410, 3554, 3714, 4106, 4266]","[(1, 1), [1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13], [2, 13], [3, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]",[],"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",0,"(1, 1)","(3, 13)","(11, 3)",rect,2.0,12.0,4.0,8.0
14,xvlin,"[1949, 2117, 2269, 2421, 2573, 2733, 2885, 3045, 3574]","[(1, 5), [1, 6], [1, 7], [1, 8], [1, 9], [1, 10], [1, 11], [2, 12], [2, 13], [3, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0)]",[7],"[0, 0, 1, 1, 1, 1, 1, 1, 0]",1,"(1, 5)","(3, 13)","(11, 7)",rect,2.0,10.0,2.0,8.0
15,xvlin,"[1906, 2082, 2235, 2378, 2530, 2818, 2978, 3122, 3274, 3419, 3563, 3714, 3866, 4115, 4266, 4570]","[(9, 3), [9, 4], [9, 5], [9, 6], [9, 7], [9, 8], [8, 8], [7, 8], [6, 8], [5, 8], [4, 8], [3, 8], [4, 7], [3, 7], [2, 7], [1, 7], [1, 8]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]",[12],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0]",1,"(9, 3)","(5, 12)","(1, 8)",expRect,0,13.0,4,29
16,xvlin,"[1852, 2036, 2180, 2333, 2484, 2636, 2788, 2940, 3092, 3236, 3396, 3540, 3692, 3876, 4164, 4437]","[(5, 3), [5, 4], [5, 5], [5, 6], [5, 7], [5, 8], [5, 9], [5, 7], [5, 8], [5, 9], [5, 10], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [7, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0)]","[11, 7]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",2,"(5, 3)","(7, 13)","(13, 5)",rect,2.0,10.0,2.0,8.0
17,xvlin,"[2298, 2475, 2626, 2770, 2930, 3098]","[(4, 2), [4, 3], [4, 4], [4, 5], [4, 6], [4, 7], [4, 8]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[1, 1, 1, 1, 1, 1]",0,"(4, 2)","(4, 8)","(11, 1)",none,2.0,6.0,6.0,0.0
18,xvlin,"[2917, 3077, 3237, 3381, 3685, 3846, 3973, 4165]","[(5, 3), [5, 4], [5, 5], [5, 6], [5, 7], [6, 7], [7, 7], [8, 7], [9, 7]]","[(0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[1, 1, 1, 1, 0, 0, 0, 0]",0,"(5, 3)","(9, 7)","(11, 1)",midLine,0.0,8.0,4.0,4.0
19,xvlin,"[4979, 5211, 5371, 5700, 5859, 6011, 6467, 6699, 6884, 7019, 7163, 7292, 7435, 7571, 7708, 7827, 8163]","[(3, 2), [4, 2], [5, 2], [6, 2], [6, 3], [6, 4], [6, 5], [6, 4], [7, 4], [8, 4], [6, 4], [7, 4], [8, 4], [9, 4], [10, 4], [11, 4], [12, 4], [13, 4]]","[(1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[10],"[0, 0, 2, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1,"(3, 2)","(5, 10)","(13, 4)",rect,2.0,10.0,2.0,8.0
20,xvlin,"[2082, 2250, 2411, 2562, 2730, 3186, 3338, 3482, 3618, 3762, 3898, 4058, 4194, 4482, 4650, 4795, 4938, 5115]","[(13, 11), [12, 11], [11, 11], [12, 12], [11, 12], [12, 11], [11, 11], [10, 11], [9, 11], [8, 11], [7, 11], [6, 11], [5, 11], [4, 11], [4, 10], [4, 9], [4, 8], [4, 7], [4, 6]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[3, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0]",2,"(13, 11)","(4, 6)","(8, 2)",expRect,0,14.0,4,35
21,xvlin,"[1978, 2178, 2338, 2491, 2642, 2786, 3211]","[(4, 9), [5, 9], [6, 9], [7, 9], [8, 9], [9, 9], [10, 9], [11, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 2, 2]",0,"(4, 9)","(9, 7)","(11, 9)",straightLine,0.0,7.0,2.0,5.0
22,xvlin,"[1841, 2032, 2168, 2328, 2480, 2648, 3040, 3248, 3408]","[(7, 7), [7, 8], [7, 9], [7, 10], [9, 10], [9, 11], [9, 12], [9, 13], [8, 13], [7, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0)]",[4],"[1, 1, 1, 1, 1, 1, 1, 1, 1]",1,"(7, 7)","(7, 13)","(9, 3)",none,0.0,6.0,6.0,0.0
23,xvlin,"[1885, 2060, 2212, 2348, 2756, 3372, 3668, 3837]","[(3, 1), [3, 2], [3, 3], [4, 4], [4, 5], [4, 3], [5, 3], [5, 4], [5, 5]]","[(0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1)]","[3, 5]","[0, 0, 0, 0, 2, 2, 0, 0]",2,"(3, 1)","(3, 9)","(5, 5)",straightLine,2.0,6.0,2.0,4.0
24,xvlin,"[1761, 1945, 2097, 2265, 2617, 2890, 3065, 3217, 3369, 3513, 3657, 3801, 3937, 4089]","[(5, 5), [5, 6], [3, 6], [3, 7], [3, 8], [3, 9], [4, 9], [5, 9], [6, 9], [7, 9], [8, 9], [9, 9], [10, 9], [11, 9], [12, 9]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[2],"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"(5, 5)","(12, 9)","(13, 2)",midLine,0.0,11.0,4.0,7.0
25,xvlin,"[2203, 2371, 2692, 2859, 3020, 3171, 3315, 3475, 3635, 3771, 4107, 4275, 4419, 4780]","[(12, 6), [12, 5], [12, 4], [12, 5], [12, 6], [12, 7], [10, 7], [10, 8], [10, 9], [10, 10], [10, 11], [9, 11], [8, 11], [7, 11], [7, 12]]","[(0, -1), (0, -1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1)]",[6],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",1,"(12, 6)","(7, 12)","(5, 10)",expRect,0,11.0,2,29
