,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,areaType,distanceDiff,minDis,intentionedDisToTargetMin,avoidCommitmentZone
0,yulei,"[1887, 2058, 2189, 2350, 2444, 2580, 2709, 2848, 2989]","[(2, 1), [2, 2], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [8, 3], [9, 3], [10, 3]]","[(0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[14, 7]","[0, 0, 0, 0, 2, 2, 2, 2, 2]",2,"(2, 1)","(4, 13)","(10, 3)",rect,4.0,10.0,2.0,8.0
1,yulei,"[1824, 2045, 2154, 2294, 2416, 2563, 2714, 2846, 3003, 3267]","[(2, 13), [2, 12], [2, 11], [3, 11], [4, 11], [5, 11], [6, 11], [7, 11], [8, 11], [9, 11], [10, 11]]","[(0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 2, 2, 2, 2, 2, 2]",0,"(2, 13)","(4, 1)","(10, 11)",rect,4.0,10.0,2.0,8.0
2,yulei,"[1741, 2004, 2184, 2289, 2435, 2595, 2733, 2847, 2960, 3084, 3390, 3533, 3662, 3752, 3905]","[(5, 3), [5, 2], [5, 3], [5, 4], [5, 5], [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [9, 6], [10, 6], [11, 6], [12, 6], [12, 5], [13, 5]]","[(0, -1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0)]",[5],"[0, 0, 0, 0, 1, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2]",1,"(5, 3)","(7, 13)","(13, 5)",rect,2.0,10.0,2.0,8.0
3,yulei,"[1713, 1919, 2076, 2196, 2329, 2457, 2591, 2826, 2941, 3097, 3193, 3422, 3612, 3885, 4009, 4141]","[(1, 2), [1, 3], [1, 4], [1, 5], [1, 6], [0, 7], [0, 8], [0, 9], [1, 9], [2, 9], [2, 7], [2, 8], [3, 8], [4, 8], [4, 9], [4, 10], [3, 10]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (-1, 0)]","[10, 5]","[0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 2, 1, 1, 1]",2,"(1, 2)","(3, 10)","(13, 4)",rect,4.0,10.0,2.0,8.0
4,yulei,"[1907, 2038, 2487, 2748, 2926, 3073, 3209, 3367, 3533, 3715]","[(2, 3), [3, 3], [4, 3], [5, 3], [5, 2], [6, 2], [7, 2], [8, 2], [8, 1], [9, 1], [10, 1]]","[(1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0)]",[],"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",0,"(2, 3)","(10, 1)","(13, 6)",midLine,4.0,10.0,2.0,8.0
5,yulei,"[1674, 1809, 1969, 2112, 2257, 2398, 2546, 2696, 2856]","[(4, 1), [4, 2], [4, 3], [5, 3], [6, 3], [7, 3], [9, 3], [10, 3], [11, 3], [12, 3]]","[(0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[6],"[0, 0, 0, 0, 2, 2, 2, 2, 2]",1,"(4, 1)","(6, 11)","(12, 3)",rect,2.0,10.0,2.0,8.0
6,yulei,"[1590, 1981, 2141, 2317, 2490, 2789, 2959, 3269, 3386]","[(2, 6), [2, 7], [3, 6], [3, 7], [3, 8], [3, 9], [3, 10], [3, 11], [3, 12], [2, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0)]",[2],"[1, 1, 1, 1, 1, 1, 1, 1, 1]",1,"(2, 6)","(2, 12)","(6, 2)",none,2.0,6.0,6.0,0.0
7,yulei,"[1793, 1950, 2111, 2267, 2427, 2594, 2756, 2920, 3067, 3215, 3409]","[(2, 3), [3, 3], [4, 3], [5, 3], [6, 3], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4], [10, 4], [10, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1)]",[5],"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1,"(2, 3)","(2, 9)","(10, 3)",none,2.0,6.0,6.0,0.0
8,yulei,"[1757, 1933, 2057, 2244, 2402, 2532, 2798, 2961, 3118, 3275, 3443, 3614, 3744, 3903, 4060, 4228, 4375]","[(11, 1), [11, 2], [11, 3], [11, 4], [11, 5], [11, 6], [10, 6], [9, 6], [8, 6], [7, 6], [9, 6], [8, 6], [7, 6], [6, 6], [5, 6], [4, 6], [3, 6], [2, 6]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[10],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 2, 2, 2, 2]",1,"(11, 1)","(8, 12)","(2, 6)",expRect,0,14.0,6,23
9,yulei,"[1800, 1932, 2252, 2388, 2607, 2771, 2905, 3061, 3493, 3630, 3778]","[(5, 6), [6, 6], [7, 6], [8, 6], [9, 6], [9, 5], [9, 4], [9, 3], [10, 4], [10, 3], [10, 2], [9, 2]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0)]",[8],"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",1,"(5, 6)","(9, 2)","(13, 10)",midLine,4.0,8.0,4.0,4.0
10,yulei,"[1878, 2048, 2212, 2378, 2522, 2669, 2840, 3010, 3175, 3315, 3465, 3616, 4015, 4134]","[(4, 12), [4, 11], [4, 10], [5, 10], [6, 10], [7, 10], [8, 10], [7, 9], [8, 9], [9, 9], [10, 9], [11, 9], [11, 11], [12, 11], [12, 10]]","[(0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1)]","[12, 7]","[0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]",2,"(4, 12)","(6, 2)","(12, 10)",rect,2.0,10.0,2.0,8.0
11,yulei,"[1786, 1913, 2057, 2229, 2390, 2580, 2750, 2918, 2994, 3319]","[(5, 1), [6, 1], [7, 1], [8, 1], [9, 1], [10, 1], [10, 2], [11, 2], [12, 2], [12, 1], [11, 1]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, -1), (-1, 0)]",[],"[2, 2, 2, 2, 2, 1, 2, 0, 2, 0]",0,"(5, 1)","(5, 7)","(11, 1)",none,0.0,6.0,6.0,0.0
12,yulei,"[1759, 1895, 2040, 2358, 2528, 2716, 2893, 3038, 3197, 3376, 3549, 3835]","[(2, 5), [3, 5], [4, 5], [5, 5], [6, 5], [5, 6], [5, 5], [5, 4], [5, 3], [6, 2], [7, 2], [8, 2], [8, 1]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1)]","[9, 5]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1]",2,"(2, 5)","(8, 1)","(9, 12)",midLine,4.0,10.0,4.0,6.0
13,yulei,"[1749, 1877, 2030, 2168, 2258, 2460, 2523, 2646, 2834, 2894, 3173, 3414]","[(1, 6), [2, 5], [3, 5], [4, 5], [5, 5], [5, 6], [5, 7], [5, 8], [6, 8], [7, 8], [7, 9], [6, 9], [6, 10]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (-1, 0), (0, 1)]",[1],"[0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 1, 1]",1,"(1, 6)","(6, 10)","(10, 6)",straightLine,0.0,9.0,4.0,5.0
14,yulei,"[1897, 2017, 2127, 2282, 2419, 2570, 2737, 2899, 3055, 3206]","[(1, 13), [1, 12], [1, 11], [2, 11], [3, 11], [4, 11], [5, 11], [6, 11], [7, 11], [8, 11], [9, 11]]","[(0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 2, 2, 2, 2, 2, 2]",0,"(1, 13)","(3, 3)","(9, 11)",rect,2.0,10.0,2.0,8.0
15,yulei,"[1808, 1942, 2095, 2236, 2538, 2687]","[(3, 7), [4, 7], [5, 7], [6, 7], [7, 7], [7, 6], [7, 5]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 1, 1]",0,"(3, 7)","(7, 5)","(9, 7)",straightLine,0.0,6.0,2.0,4.0
16,yulei,"[1903, 2053, 2250, 2375, 2527, 2696, 2873, 3023, 3163]","[(1, 9), [1, 8], [1, 7], [1, 6], [1, 5], [1, 4], [1, 2], [2, 2], [3, 2], [4, 2]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]",[6],"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"(1, 9)","(6, 4)","(4, 2)",expRect,0,10.0,2,23
17,yulei,"[2103, 2235, 2443, 2641, 2851, 3194, 3269, 3442, 3605, 3753, 3864, 4031, 4173, 4345, 4505]","[(3, 5), [4, 5], [5, 5], [6, 5], [6, 4], [7, 5], [6, 6], [6, 5], [6, 4], [6, 3], [6, 2], [7, 2], [8, 2], [9, 2], [9, 3], [10, 3]]","[(1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0)]","[5, 6]","[0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]",2,"(3, 5)","(10, 3)","(11, 8)",midLine,2.0,9.0,2.0,7.0
18,yulei,"[1784, 1909, 2061, 2231, 2356, 2563, 2734, 2842, 3033, 3194, 3325, 3487]","[(1, 9), [1, 8], [2, 8], [3, 8], [4, 9], [4, 8], [5, 8], [6, 8], [6, 7], [6, 6], [6, 5], [6, 4], [6, 3]]","[(0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[4],"[1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1]",1,"(1, 9)","(6, 3)","(6, 13)",midLine,2.0,9.0,4.0,5.0
